Instance,N,M,ObjVal(GB),ObjVal(CGSP),ObjVal(CGMP),ObjVal(CGMPSub),nCols(GB),nCols(CGSP),nCols(CGMP),nCols(CGMPSub),K(CGSP),K(CGMP),K(CGMPSub),Time(GB),Time(CGSP),Time(CGMP),Time(CGMPSub),Gap(GB-CGSP),Gap(GB-CGMP),Gap(GB-CGMPSub)
30,6,10,0.04740000000000007,0.04740000000000007,0.047400000000000025,0.047400000000000025,5040,26,65,27,26,13,19,0.015000104904174805,0.8543665409088135,0.5764694213867188,1.1496334075927734,0.0,4.163336342344337e-17,4.163336342344337e-17
31,6,15,0.11110000000000024,0.11110000000000006,0.11110000000000039,0.1133999999999998,5040,32,80,33,32,16,21,0.015000104904174805,1.4173290729522705,1.028724193572998,1.728426218032837,1.8041124150158794e-16,-1.5265566588595902e-16,-0.0022999999999995663
32,6,20,0.12849999999999995,0.12850000000000014,0.12819999999999976,0.1284999999999993,5040,45,155,48,45,31,31,0.03699994087219238,3.03777813911438,3.137763261795044,3.7070415019989014,-1.942890293094024e-16,0.000300000000000189,6.38378239159465e-16
33,6,25,0.12950000000000006,0.12950000000000045,0.1292999999999998,0.18923620689655166,5040,63,195,53,63,39,37,0.03500008583068848,6.205584764480591,5.677943229675293,6.175020933151245,-3.885780586188048e-16,0.00020000000000025553,-0.0597362068965516
34,8,2,0.0,0.0,0.0,0.0001999999999998947,362880,10,10,7,10,2,3,0.5060000419616699,0.30219602584838867,0.09604835510253906,0.13714146614074707,0.0,0.0,-0.0001999999999998947
35,8,3,9.999999999987796e-05,0.00010000000000001674,0.00010000000000003062,9.999999999994735e-05,362880,16,25,15,16,5,8,0.5480000972747803,0.5258986949920654,0.2333073616027832,0.5997302532196045,-1.3877787807814457e-16,-1.5265566588595902e-16,-6.938893903907228e-17
36,8,4,0.0005000000000002502,0.0005000000000002225,0.0005000000000002502,0.0005000000000002502,362880,20,40,19,20,8,9,0.6140000820159912,0.7028603553771973,0.4036686420440674,0.5314383506774902,2.7755575615628914e-17,0.0,0.0
37,8,5,0.00019999999999997797,0.00019999999999997797,0.0001999999999999641,0.00020000000000001267,362880,26,50,28,26,10,12,0.7099997997283936,1.0197172164916992,0.5438237190246582,0.9827909469604492,0.0,1.3877787807814457e-17,-3.469446951953614e-17
38,8,10,0.05309999999999934,0.05309999999999989,0.053099999999999856,0.057036363636363586,362880,41,100,41,41,20,25,1.125,3.027462959289551,2.1819121837615967,2.8843436241149902,-5.48172618408671e-16,-5.134781488891349e-16,-0.003936363636364244
39,8,15,0.08879999999999946,0.08880000000000018,0.0888000000000005,0.08889999999999978,362880,55,170,54,55,34,43,2.1559998989105225,5.659839153289795,4.970926284790039,9.382061004638672,-7.216449660063518e-16,-1.0408340855860843e-15,-0.00010000000000032205
40,8,20,0.11929999999999982,0.1192999999999999,0.11929999999999968,0.11997265437048917,362880,66,255,68,66,51,50,3.8970000743865967,9.4126455783844,10.169016122817993,10.019988298416138,-8.326672684688674e-17,1.3877787807814457e-16,-0.0006726543704893423
41,8,25,0.1490000000000008,0.1489999999999998,0.14620000000000039,0.19176034117342974,362880,77,350,68,77,70,52,3.486999988555908,18.040102005004883,17.81439781188965,12.944358110427856,9.992007221626409e-16,0.0028000000000004133,-0.042760341173428945
